time;sender_id;receiver_id;SelfOrOther;lEye_lEye.x;lEye_lEye.y;lEye_rEye.x;lEye_rEye.y;rEye_lEye.x;rEye_lEye.y;rEye_rEye.x;rEye_rEye.y;
7.550839;0;1;SelfAtOther;56.10365;15.75168;58.11495;15.75668;57.16603;15.79257;59.12042;15.79749;
7.550839;1;0;OtherAtSelf;13.54607;25.18881;15.0767;25.18198;15.08428;25.17184;16.55767;25.16467;
7.567013;0;1;SelfAtOther;56.10367;15.75171;58.11497;15.75671;57.16604;15.79257;59.12042;15.79749;
7.567013;1;0;OtherAtSelf;13.54607;25.18881;15.0767;25.18198;15.08428;25.17184;16.55767;25.16467;
7.594086;0;1;SelfAtOther;56.10372;15.75168;58.11502;15.75668;57.1661;15.79257;59.12049;15.79749;
7.594086;1;0;OtherAtSelf;13.54608;25.18881;15.0767;25.18198;15.08428;25.17181;16.55766;25.16467;
7.600826;0;1;SelfAtOther;56.10365;15.75168;58.11495;15.75668;57.16603;15.79257;59.12042;15.79749;
7.600826;1;0;OtherAtSelf;13.54607;25.18881;15.0767;25.18201;15.08428;25.17181;16.55766;25.16467;
7.627732;0;1;SelfAtOther;56.10367;15.75171;58.11497;15.75671;57.16604;15.79257;59.12042;15.79749;
7.627732;1;0;OtherAtSelf;13.54607;25.18881;15.0767;25.18201;15.08428;25.17181;16.55766;25.16467;
7.636687;0;1;SelfAtOther;56.10373;15.75168;58.11503;15.75668;57.16611;15.79257;59.12049;15.79752;
7.636687;1;0;OtherAtSelf;13.54608;25.18881;15.0767;25.18198;15.08428;25.17181;16.55767;25.16467;
7.661365;0;1;SelfAtOther;56.10365;15.75168;58.11495;15.75668;57.16603;15.79257;59.12042;15.79749;
7.661365;1;0;OtherAtSelf;13.54607;25.18881;15.0767;25.18198;15.08428;25.17181;16.55766;25.16467;
7.666928;0;1;SelfAtOther;56.10367;15.75171;58.11497;15.75671;57.16603;15.79257;59.12042;15.79749;
7.666928;1;0;OtherAtSelf;13.54607;25.18881;15.0767;25.18201;15.08428;25.17181;16.55767;25.16467;
7.694538;0;1;SelfAtOther;56.10373;15.75168;58.11502;15.75668;57.1661;15.79257;59.12049;15.79749;
7.694538;1;0;OtherAtSelf;13.54607;25.18881;15.0767;25.18198;15.08429;25.17184;16.55768;25.1647;
7.701503;0;1;SelfAtOther;56.10365;15.75168;58.11495;15.75668;57.16603;15.79257;59.12042;15.79749;
7.701503;1;0;OtherAtSelf;13.54607;25.18881;15.0767;25.18198;15.08428;25.17181;16.55767;25.16467;
7.727746;0;1;SelfAtOther;55.4695;5.504059;57.48687;5.517944;56.54442;5.530914;58.50443;5.544464;
7.727746;1;0;OtherAtSelf;13.69915;25.45349;15.23715;25.43875;15.24556;25.43295;16.72564;25.41766;
7.734068;0;1;SelfAtOther;55.93098;11.71445;57.94482;11.72418;56.99829;11.75125;58.9551;11.76077;
7.734068;1;0;OtherAtSelf;12.22009;21.55756;13.75554;21.54675;13.73597;21.55701;15.21395;21.54575;
7.763189;0;1;SelfAtOther;57.83283;-27.35198;59.88224;-27.30567;58.85836;-27.37384;60.84787;-27.32895;
7.763189;1;0;OtherAtSelf;12.15249;21.47949;13.70959;21.43771;13.70415;21.46548;15.20173;21.42233;
7.767889;0;1;SelfAtOther;56.84069;-15.28684;58.87901;-15.24817;57.90475;-15.28498;59.88439;-15.24742;
7.767889;1;0;OtherAtSelf;6.564832;-0.6457605;8.105824;-0.6786798;7.797913;-0.5104266;9.28101;-0.5446167;
7.783801;0;1;SelfAtOther;53.60289;-28.22304;55.69337;-28.19193;54.43745;-28.33137;56.47406;-28.30094;
7.783801;1;0;OtherAtSelf;3.009208;-11.01651;4.677821;-11.03856;4.272487;-10.87208;5.888607;-10.89535;
7.800861;0;1;SelfAtOther;60.77616;-21.87323;62.85721;-21.84655;61.6008;-22.00644;63.62965;-21.98047;
7.800861;1;0;OtherAtSelf;3.699768;-21.88645;5.386125;-21.90415;5.263107;-21.89464;6.898391;-21.91343;
7.817479;0;1;SelfAtOther;63.69539;-25.55405;65.79506;-25.54872;64.43143;-25.78851;66.48162;-25.78324;
7.817479;1;0;OtherAtSelf;144.8321;-3.821951;146.568;-3.822052;164.4419;-4.363225;166.1286;-4.359857;
7.834272;0;1;SelfAtOther;66.96205;-27.03024;69.05542;-26.99636;67.64808;-27.31283;69.69696;-27.27979;
